genome,completeness,contamination,length,N50
AtH2023_SRR11125511_MAG1.fasta,94.72,2.16,1854890.0,27805.0
AtH2023_SRR11125528_MAG1.fasta,97.56,0.03,2327146.0,23919.0
AtH2023_SRR11125529_MAG1.fasta,99.97,2.22,1985792.0,37183.0
AtH2023_SRR11125529_MAG2.fasta,90.35,0.21,1834575.0,25119.0
AtH2023_SRR11125529_MAG3.fasta,94.66,0.21,2065173.0,20625.0
AtH2023_SRR11125529_MAG4.fasta,99.91,0.23,2411854.0,178854.0
AtH2023_SRR11125529_MAG5.fasta,97.51,0.48,2007307.0,47874.0
AtH2023_SRR11125529_MAG6.fasta,99.78,0.16,1882182.0,55989.0
AtH2023_SRR11125533_MAG1.fasta,80.51,1.09,1472731.0,20447.0
AtH2023_SRR11125533_MAG2.fasta,92.96,1.43,1472663.0,7322.0
AtH2023_SRR11125547_MAG1.fasta,91.87,3.58,1843130.0,8394.0
AtH2023_SRR11125547_MAG2.fasta,96.8,0.57,1408608.0,10848.0
AtH2023_SRR11125552_MAG1.fasta,98.69,0.61,1836669.0,23742.0
AtH2023_SRR11125552_MAG2.fasta,90.13,0.73,3779870.0,8969.0
AtH2023_SRR11125633_MAG1.fasta,98.74,0.84,3034208.0,33980.0
AtH2023_SRR11125633_MAG2.fasta,83.65,1.86,2368033.0,18019.0
AtH2023_SRR11125633_MAG3.fasta,90.67,1.88,1898688.0,6293.0
AtH2023_SRR11125633_MAG4.fasta,88.35,4.22,1875777.0,9462.0
AtH2023_SRR11125633_MAG5.fasta,84.68,0.46,1600300.0,8623.0
AtH2023_SRR11125634_MAG1.fasta,99.99,0.46,2071992.0,51826.0
AtH2023_SRR11125634_MAG2.fasta,99.98,4.48,2555301.0,10053.0
AtH2023_SRR11125634_MAG3.fasta,99.93,0.41,2192811.0,71441.0
AtH2023_SRR11125640_MAG1.fasta,86.48,1.45,1803377.0,10858.0
AtH2023_SRR11125640_MAG2.fasta,89.9,5.52,2354154.0,6385.0
AtH2023_SRR11125640_MAG3.fasta,86.4,2.01,1872303.0,10857.0
AtH2023_SRR11125640_MAG4.fasta,86.85,1.6,3703675.0,9552.0
AtH2023_SRR11125642_MAG1.fasta,100.0,0.92,2653624.0,26368.0
AtH2023_SRR11125642_MAG2.fasta,85.63,1.01,1762423.0,17639.0
AtH2023_SRR11125642_MAG3.fasta,94.38,2.75,1880925.0,9601.0
AtH2023_SRR11125642_MAG4.fasta,95.55,1.31,1998162.0,25674.0
AtH2023_SRR11125642_MAG5.fasta,88.41,0.31,1692998.0,26950.0
AtH2023_SRR11125655_MAG1.fasta,99.95,0.86,2100599.0,40779.0
AtH2023_SRR11125655_MAG2.fasta,81.63,1.91,1513515.0,6560.0
AtH2023_SRR11125655_MAG3.fasta,82.04,0.12,2091978.0,10239.0
AtH2023_SRR11125655_MAG4.fasta,83.74,0.71,776024.0,8807.0
AtH2023_SRR11125685_MAG1.fasta,99.99,6.71,2036647.0,19993.0
AtH2023_SRR11125685_MAG2.fasta,91.71,1.74,3911790.0,10744.0
AtH2023_SRR11125685_MAG3.fasta,84.98,0.03,1599311.0,15767.0
AtH2023_SRR11125685_MAG4.fasta,81.83,0.21,1358808.0,44339.0
AtH2023_SRR11125706_MAG1.fasta,85.85,1.48,2237565.0,7057.0
AtH2023_SRR11125706_MAG2.fasta,86.73,0.06,1654773.0,20251.0
AtH2023_SRR11125706_MAG3.fasta,98.9,0.04,2239717.0,11116.0
AtH2023_SRR11125712_MAG1.fasta,91.84,0.19,2088027.0,16790.0
AtH2023_SRR11125712_MAG2.fasta,100.0,0.24,2777416.0,10193.0
AtH2023_SRR11125732_MAG1.fasta,100.0,3.31,2525470.0,17893.0
AtH2023_SRR11125758_MAG1.fasta,99.93,2.51,1990586.0,18454.0
AtH2023_SRR11125758_MAG2.fasta,95.02,2.3,1849534.0,13206.0
AtH2023_SRR11125758_MAG3.fasta,95.13,1.29,2438012.0,37903.0
AtH2023_SRR11125758_MAG4.fasta,96.65,0.75,2292694.0,37287.0
AtH2023_SRR11125758_MAG5.fasta,86.16,2.56,2239460.0,8210.0
AtH2023_SRR11125766_MAG1.fasta,85.84,1.6,2070428.0,30178.0
AtH2023_SRR11125766_MAG2.fasta,80.28,2.25,2301938.0,9299.0
AtH2023_SRR11125766_MAG3.fasta,99.96,0.84,1926127.0,17576.0
AtH2023_SRR11125766_MAG4.fasta,93.93,0.43,1969940.0,22617.0
AtH2023_SRR11125766_MAG5.fasta,99.22,0.2,1755990.0,79842.0
AtH2023_SRR11125766_MAG6.fasta,86.05,0.9,1616326.0,30199.0
AtH2023_SRR11125767_MAG1.fasta,98.04,0.33,1538784.0,35781.0
AtH2023_SRR11125775_MAG1.fasta,96.94,0.98,2086603.0,18167.0
AtH2023_SRR11125775_MAG2.fasta,90.38,1.05,3765717.0,18160.0
AtH2023_SRR11125775_MAG3.fasta,95.11,4.37,1769255.0,6345.0
AtH2023_SRR11125785_MAG1.fasta,61.34,0.35,1216405.0,21803.0
AtH2023_SRR11125785_MAG2.fasta,71.86,1.71,1446280.0,6237.0
AtH2023_SRR11125785_MAG3.fasta,96.13,0.97,2214985.0,21224.0
AtH2023_SRR11125785_MAG4.fasta,87.1,0.54,1635161.0,12210.0
AtH2023_SRR11125785_MAG5.fasta,83.49,0.98,1695330.0,14837.0
AtH2023_SRR11125785_MAG6.fasta,95.53,1.52,1870453.0,23129.0
AtH2023_SRR11125793_MAG1.fasta,99.62,1.4,3113263.0,105351.0
AtH2023_SRR11125793_MAG2.fasta,86.82,0.03,1468224.0,11435.0
AtH2023_SRR11125793_MAG3.fasta,96.54,0.32,1778144.0,38032.0
AtH2023_SRR11125796_MAG1.fasta,99.9,2.81,2023921.0,19695.0
AtH2023_SRR11125796_MAG2.fasta,79.26,2.38,2046160.0,5622.0
AtH2023_SRR11125806_MAG1.fasta,86.55,0.12,1619376.0,25515.0
AtH2023_SRR11125817_MAG1.fasta,99.96,1.41,3132204.0,51632.0
SRR11125827_MAG1.fasta,95.64,1.83,2105361.0,31989.0
SRR11125827_MAG2.fasta,94.06,0.1,2009980.0,80282.0
SRR11125827_MAG3.fasta,87.59,0.06,1755983.0,22987.0
SRR11125827_MAG4.fasta,92.96,0.07,1468475.0,26418.0
SRR11125827_MAG5.fasta,94.69,1.45,2862608.0,22518.0
SRR11125827_MAG6.fasta,84.92,0.09,2092242.0,53501.0
AtH2023_SRR11125860_MAG1.fasta,93.72,2.35,1908631.0,7366.0
AtH2023_SRR11125861_MAG1.fasta,100.0,2.49,1610006.0,11430.0
AtH2023_SRR11125861_MAG2.fasta,94.68,0.79,1886484.0,13393.0
AtH2023_SRR11125861_MAG3.fasta,90.59,2.7,1150649.0,8887.0
AtH2023_SRR11125861_MAG4.fasta,99.84,0.18,1724406.0,53051.0
AtH2023_SRR11125866_MAG1.fasta,82.13,5.81,1853603.0,6550.0
AtH2023_SRR11125866_MAG2.fasta,91.87,3.37,1529176.0,8981.0
AtH2023_SRR11125866_MAG3.fasta,95.46,0.76,1532638.0,16309.0
AtH2023_SRR11125883_MAG1.fasta,99.93,1.14,2075756.0,22038.0
AtH2023_SRR11125883_MAG2.fasta,79.93,2.19,1420417.0,7163.0
AtH2023_SRR11125883_MAG3.fasta,94.81,2.0,1834694.0,17120.0
AtH2023_SRR11125888_MAG1.fasta,99.97,0.18,2051781.0,28428.0
AtH2023_SRR11125888_MAG2.fasta,98.76,0.3,2421902.0,149967.0
AtH2023_SRR11125890_MAG1.fasta,82.87,3.87,2130624.0,7686.0
AtH2023_SRR11125890_MAG2.fasta,95.16,1.97,1950470.0,22511.0
AtH2023_SRR11125890_MAG3.fasta,84.84,0.24,1670649.0,20701.0
AtH2023_SRR11125890_MAG4.fasta,99.94,4.68,2087275.0,16842.0
AtH2023_SRR11125890_MAG5.fasta,92.34,2.66,3699576.0,19667.0
AtH2023_SRR11125890_MAG6.fasta,100.0,1.02,2181832.0,17645.0
AtH2023_SRR11125891_MAG1.fasta,98.34,0.34,2070500.0,41375.0
AtH2023_SRR11125891_MAG2.fasta,88.87,2.1,1973763.0,17933.0
AtH2023_SRR11125891_MAG3.fasta,92.05,2.55,1907150.0,7773.0
AtH2023_SRR11125891_MAG4.fasta,96.46,0.01,1944664.0,111445.0
AtH2023_SRR11125910_MAG1.fasta,97.28,3.82,1640467.0,7000.0
AtH2023_SRR11125910_MAG2.fasta,91.52,3.35,2249082.0,5990.0
AtH2023_SRR11125910_MAG3.fasta,99.02,0.29,2071789.0,41814.0
AtH2023_SRR11125918_MAG1.fasta,98.96,0.95,3380032.0,98676.0
AtH2023_SRR11125918_MAG2.fasta,92.44,0.24,1596401.0,7040.0
AtH2023_SRR11125920_MAG1.fasta,98.77,0.71,2424019.0,21311.0
AtH2023_SRR11125920_MAG2.fasta,98.91,0.12,1818521.0,50556.0
AtH2023_SRR11125920_MAG3.fasta,89.93,0.26,1750338.0,30429.0
AtH2023_SRR11125920_MAG4.fasta,82.75,3.11,1677564.0,5392.0
AtH2023_SRR11125920_MAG5.fasta,99.09,2.02,2401508.0,54196.0
AtH2023_SRR11125925_MAG1.fasta,94.45,0.37,1814277.0,59163.0
AtH2023_SRR11125925_MAG2.fasta,94.47,0.17,2305179.0,6418.0
AtH2023_SRR11125925_MAG3.fasta,97.43,0.03,1609271.0,10423.0
AtH2023_SRR11125925_MAG4.fasta,99.26,0.58,1603745.0,34789.0
AtH2023_SRR11125935_MAG1.fasta,75.56,1.88,1785862.0,5282.0
AtH2023_SRR11125935_MAG2.fasta,93.9,0.7,2571176.0,59733.0
AtH2023_SRR11125936_MAG1.fasta,99.98,0.73,2083494.0,48559.0
AtH2023_SRR11125936_MAG2.fasta,89.03,2.66,2836090.0,7592.0
AtH2023_SRR11125936_MAG3.fasta,88.49,0.95,1219345.0,8574.0
AtH2023_SRR11125936_MAG4.fasta,84.78,0.11,1631454.0,33256.0
AtH2023_SRR11125941_MAG1.fasta,99.27,1.07,2967712.0,66381.0
AtH2023_SRR11125941_MAG2.fasta,91.37,0.57,1793339.0,19907.0
AtH2023_SRR11125941_MAG3.fasta,92.13,1.01,1953220.0,6228.0
AtH2023_SRR11125941_MAG4.fasta,84.2,2.92,1614674.0,8137.0
AtH2023_SRR11125941_MAG5.fasta,98.42,0.43,1930015.0,87050.0
AtH2023_SRR11125941_MAG6.fasta,96.46,1.08,2431152.0,49062.0
SRR11125951_MAG1.fasta,97.98,0.06,1832970.0,35298.0
AtH2023_SRR11125966_MAG1.fasta,85.08,3.44,2078018.0,5002.0
AtH2023_SRR11125999_MAG1.fasta,99.89,0.65,2909444.0,50953.0
AtH2023_SRR11126002_MAG1.fasta,69.91,1.1,2104516.0,93794.0
AtH2023_SRR11126002_MAG2.fasta,85.98,0.71,1719901.0,16968.0
AtH2023_SRR11126002_MAG3.fasta,86.87,4.17,1817552.0,6052.0
AtH2023_SRR11126002_MAG4.fasta,97.07,0.64,1782403.0,21909.0
AtH2023_SRR11126002_MAG5.fasta,99.77,0.31,2395036.0,57723.0
AtH2023_SRR11126010_MAG1.fasta,94.71,0.89,1814272.0,44842.0
AtH2023_SRR11126010_MAG2.fasta,99.52,0.22,1678968.0,41018.0
AtH2023_SRR11126010_MAG3.fasta,98.51,0.33,1777143.0,26663.0
AtH2023_SRR11126010_MAG4.fasta,81.44,0.34,2300376.0,44185.0
AtH2023_SRR11126010_MAG5.fasta,89.97,0.95,2125730.0,9432.0
AtH2023_SRR11126010_MAG6.fasta,87.61,1.31,1072766.0,7656.0
AtH2023_SRR11126010_MAG7.fasta,97.74,0.67,1910095.0,20331.0
AtH2023_SRR11126018_MAG1.fasta,96.45,0.26,1851148.0,9970.0
AtH2023_SRR11126019_MAG01.fasta,95.97,2.6,2535660.0,32970.0
AtH2023_SRR11126019_MAG02.fasta,95.67,2.03,2009444.0,66144.0
AtH2023_SRR11126019_MAG03.fasta,79.47,0.2,2260397.0,113790.0
AtH2023_SRR11126019_MAG04.fasta,99.72,1.17,4273146.0,23825.0
AtH2023_SRR11126019_MAG05.fasta,92.86,3.06,2989779.0,17920.0
AtH2023_SRR11126019_MAG06.fasta,95.14,3.88,2146176.0,11613.0
AtH2023_SRR11126019_MAG07.fasta,91.0,4.98,2885435.0,6457.0
AtH2023_SRR11126019_MAG08.fasta,99.66,0.09,1589428.0,55587.0
AtH2023_SRR11126019_MAG09.fasta,91.34,0.94,1452948.0,8869.0
AtH2023_SRR11126019_MAG10.fasta,97.52,0.61,2040671.0,76728.0
AtH2023_SRR11126019_MAG11.fasta,99.25,1.13,3232014.0,69015.0
AtH2023_SRR11126053_MAG1.fasta,74.43,0.5,1323218.0,5008.0
AtH2023_SRR11126053_MAG2.fasta,99.47,0.49,2934597.0,21118.0
AtH2023_SRR11126065_MAG1.fasta,98.02,0.71,2213098.0,21509.0
AtH2023_SRR11126065_MAG2.fasta,98.69,0.14,2038830.0,20889.0
AtH2023_SRR11126065_MAG3.fasta,90.54,6.73,1592374.0,7211.0
AtH2023_SRR11126065_MAG4.fasta,91.83,0.54,1804005.0,26742.0
AtH2023_SRR11126073_MAG1.fasta,79.94,1.33,1210483.0,5329.0
AtH2023_SRR11126073_MAG2.fasta,78.12,3.72,1304822.0,5566.0
AtH2023_SRR11126073_MAG3.fasta,89.83,0.12,1724259.0,24780.0
AtH2023_SRR11126074_MAG1.fasta,96.35,1.8,3051303.0,16613.0
AtH2023_SRR11126074_MAG2.fasta,99.33,0.7,1816956.0,22250.0
AtH2023_SRR11126074_MAG3.fasta,99.79,2.12,1829312.0,19275.0
AtH2023_SRR11126074_MAG4.fasta,90.47,1.22,2248747.0,17177.0
AtH2023_SRR11126074_MAG5.fasta,100.0,1.0,2508430.0,19248.0
AtH2023_SRR11126085_MAG1.fasta,55.22,0.93,472796.0,14765.0
AtH2023_SRR11126085_MAG2.fasta,96.92,0.89,1952619.0,33080.0
AtH2023_SRR11126085_MAG3.fasta,87.22,0.0,2282983.0,27951.0
AtH2023_SRR11126098_MAG1.fasta,99.99,1.24,2084806.0,28171.0
AtH2023_SRR11126098_MAG2.fasta,94.64,3.02,2241531.0,6303.0
AtH2023_SRR11126104_MAG1.fasta,94.19,1.41,1802589.0,28545.0
AtH2023_SRR11126104_MAG2.fasta,89.99,2.53,1970732.0,10554.0
AtH2023_SRR11126106_MAG1.fasta,98.02,1.72,2143739.0,27128.0
AtH2023_SRR11126106_MAG2.fasta,99.92,0.19,2228564.0,90172.0
AtH2023_SRR11126106_MAG3.fasta,95.04,1.79,2075315.0,11103.0
AtH2023_SRR11126106_MAG4.fasta,98.33,2.65,1925729.0,12205.0
AtH2023_SRR11126106_MAG5.fasta,93.9,0.95,1473701.0,7702.0
AtH2023_SRR11126106_MAG6.fasta,82.3,0.67,1879602.0,17766.0
AtH2023_SRR11126106_MAG7.fasta,79.13,1.27,1525535.0,6712.0
AtH2023_SRR11126106_MAG8.fasta,83.45,1.04,1532945.0,5352.0
AtH2023_SRR11126106_MAG9.fasta,99.71,0.18,1736600.0,25510.0
AtH2023_SRR11126113_MAG1.fasta,97.53,3.85,2260809.0,10254.0
AtH2023_SRR11126113_MAG2.fasta,99.98,0.72,2028878.0,41542.0
AtH2023_SRR11126113_MAG3.fasta,96.96,1.66,1332827.0,14201.0
AtH2023_SRR11126132_MAG1.fasta,86.26,4.25,1560548.0,5558.0
AtH2023_SRR11126132_MAG2.fasta,94.77,0.86,1369298.0,13010.0
AtH2023_SRR11126132_MAG3.fasta,79.5,0.02,2135306.0,7020.0
AtH2023_SRR11126132_MAG4.fasta,90.09,0.26,1922097.0,13428.0
AtH2023_SRR11126167_MAG1.fasta,95.68,2.97,1824752.0,15198.0
AtH2023_SRR11126180_MAG1.fasta,99.68,0.8,2643097.0,153917.0
AtH2023_SRR11126180_MAG2.fasta,99.54,1.24,3285961.0,43562.0
AtH2023_SRR11126180_MAG3.fasta,97.36,0.2,2148604.0,26448.0
AtH2023_SRR11126180_MAG4.fasta,99.95,0.25,1730593.0,58073.0
AtH2023_SRR11126191_MAG1.fasta,93.36,1.13,1776565.0,5906.0
AtH2023_SRR11126191_MAG2.fasta,90.77,1.9,2200342.0,10541.0
AtH2023_SRR11126191_MAG3.fasta,93.03,0.45,1868859.0,23608.0
AtH2023_SRR11126191_MAG4.fasta,96.01,0.1,1666020.0,24048.0
AtH2023_SRR11126191_MAG5.fasta,92.98,1.02,1929937.0,23254.0
AtH2023_SRR11126198_MAG1.fasta,98.77,0.74,1972328.0,81974.0
AtH2023_SRR11126198_MAG2.fasta,94.26,3.58,1931712.0,11867.0
AtH2023_SRR11126203_MAG1.fasta,97.92,0.33,2187626.0,75810.0
AtH2023_SRR11126203_MAG2.fasta,98.79,0.35,2134097.0,99099.0
AtH2023_SRR11126203_MAG3.fasta,99.88,0.18,1761560.0,46516.0
AtH2023_SRR11126203_MAG4.fasta,99.98,0.43,1893093.0,70479.0
AtH2023_SRR11126203_MAG5.fasta,96.3,1.03,2319264.0,7707.0
AtH2023_SRR11126203_MAG6.fasta,97.22,0.65,1852450.0,27269.0
AtH2023_SRR11126203_MAG7.fasta,95.04,0.1,1912101.0,50990.0
AtH2023_SRR11126203_MAG8.fasta,99.88,0.6,3137555.0,84026.0
AtH2023_SRR11126203_MAG9.fasta,93.81,2.25,1299120.0,30983.0
AtH2023_SRR11126206_MAG1.fasta,97.68,0.49,3151577.0,23008.0
AtH2023_SRR11126214_MAG1.fasta,97.96,0.8,1590608.0,9701.0
AtH2023_SRR11126214_MAG2.fasta,97.9,0.65,1053183.0,23417.0
AtH2023_SRR11126214_MAG3.fasta,94.31,0.15,1491946.0,25501.0
AtH2023_SRR11126214_MAG4.fasta,94.65,0.1,1724935.0,74884.0
AtH2023_SRR11126219_MAG1.fasta,99.81,0.42,1116506.0,567076.0
AtH2023_SRR11126219_MAG2.fasta,96.69,4.78,2414768.0,17197.0
AtH2023_SRR11126219_MAG3.fasta,96.92,7.9,3599531.0,9613.0
AtH2023_SRR11126219_MAG4.fasta,89.61,7.53,1921111.0,6022.0
AtH2023_SRR11126219_MAG5.fasta,96.24,2.31,2620407.0,37304.0
SRR11126221_MAG1.fasta,97.21,0.39,2637477.0,63236.0
SRR11126221_MAG2.fasta,99.95,2.25,1917001.0,45292.0
SRR11126221_MAG3.fasta,89.09,0.0,1712679.0,11850.0
SRR11126221_MAG4.fasta,98.55,0.55,2021459.0,96792.0
SRR11126221_MAG5.fasta,96.91,0.13,1609976.0,18783.0
AtH2023_SRR11126233_MAG1.fasta,93.04,0.22,1732049.0,24212.0
AtH2023_SRR11126233_MAG2.fasta,97.39,0.17,1910949.0,75079.0
AtH2023_SRR11126306_MAG1.fasta,98.64,0.74,3053229.0,21255.0
AtH2023_SRR11126306_MAG2.fasta,57.66,0.03,1022068.0,31920.0
AtH2023_SRR11126306_MAG3.fasta,88.59,0.1,1712466.0,24727.0
AtH2023_SRR11126306_MAG4.fasta,99.97,0.96,1952718.0,35148.0
AtH2023_SRR11126329_MAG1.fasta,86.97,0.95,1636451.0,19961.0
AtH2023_SRR11126329_MAG2.fasta,75.48,0.48,3302431.0,5917.0
AtH2023_SRR11126329_MAG3.fasta,90.35,0.11,2331848.0,14961.0
AtH2023_SRR11126329_MAG4.fasta,93.86,0.64,1724648.0,21130.0
AtH2023_SRR11126332_MAG1.fasta,99.81,4.18,1945699.0,17885.0
AtH2023_SRR11126332_MAG2.fasta,85.35,0.01,2091731.0,11669.0
AtH2023_SRR11126332_MAG3.fasta,90.04,0.83,1761225.0,21669.0
AtH2023_SRR11126336_MAG1.fasta,81.76,1.26,1361520.0,6098.0
AtH2023_SRR11126336_MAG2.fasta,96.31,2.1,2159120.0,7267.0
AtH2023_SRR11126342_MAG1.fasta,83.47,0.0,2521313.0,46888.0
AtH2023_SRR11126343_MAG1.fasta,99.5,1.17,1718478.0,19119.0
AtH2023_SRR11126343_MAG2.fasta,91.08,0.55,1673392.0,13764.0
AtH2023_SRR11126349_MAG1.fasta,99.98,1.34,2090944.0,49988.0
AtH2023_SRR11126349_MAG2.fasta,100.0,0.03,1599044.0,29910.0
AtH2023_SRR11126349_MAG3.fasta,99.64,0.07,2519055.0,32020.0
AtH2023_SRR11126356_MAG1.fasta,99.62,0.88,2503817.0,17766.0
AtH2023_SRR11126356_MAG2.fasta,93.98,1.86,1687152.0,19620.0
AtH2023_SRR11126356_MAG3.fasta,89.24,1.95,2068303.0,5379.0
AtH2023_SRR11126356_MAG4.fasta,81.32,0.04,1413567.0,8170.0
AtH2023_SRR11126356_MAG5.fasta,96.39,0.54,1579615.0,30789.0
AtH2023_SRR11126363_MAG1.fasta,95.44,0.2,2180437.0,31761.0
AtH2023_SRR11126363_MAG2.fasta,93.6,0.29,1916779.0,31001.0
AtH2023_SRR11126363_MAG3.fasta,90.63,1.67,1885990.0,16054.0
AtH2023_SRR11126363_MAG4.fasta,83.2,6.36,3398299.0,5011.0
AtH2023_SRR11126363_MAG5.fasta,77.94,0.58,1512518.0,6293.0
AtH2023_SRR11126363_MAG6.fasta,83.34,0.81,2360205.0,16967.0
AtH2023_SRR11126363_MAG7.fasta,94.7,4.09,1470222.0,5225.0
AtH2023_SRR11126364_MAG1.fasta,99.61,0.09,1638668.0,14726.0
AtH2023_SRR11126366_MAG01.fasta,92.75,0.56,2692549.0,25826.0
AtH2023_SRR11126366_MAG02.fasta,92.82,0.91,1860953.0,16037.0
AtH2023_SRR11126366_MAG03.fasta,83.13,1.09,2648436.0,7520.0
AtH2023_SRR11126366_MAG04.fasta,93.96,3.73,2160691.0,24133.0
AtH2023_SRR11126366_MAG05.fasta,100.0,0.54,1851111.0,23894.0
AtH2023_SRR11126366_MAG06.fasta,97.69,0.0,2006524.0,62167.0
AtH2023_SRR11126366_MAG07.fasta,80.1,0.51,2308652.0,47945.0
AtH2023_SRR11126366_MAG08.fasta,86.68,1.57,1375624.0,5317.0
AtH2023_SRR11126366_MAG09.fasta,85.7,1.18,1648001.0,7981.0
AtH2023_SRR11126366_MAG10.fasta,99.67,0.14,1701482.0,46441.0
AtH2023_SRR11126366_MAG11.fasta,82.77,0.08,2346721.0,42678.0
AtH2023_SRR11126366_MAG12.fasta,82.89,0.4,2310261.0,36774.0
AtH2023_SRR11126367_MAG1.fasta,96.36,2.82,1890385.0,30855.0
AtH2023_SRR11126367_MAG2.fasta,89.76,0.44,1679793.0,28708.0
AtH2023_SRR11126367_MAG3.fasta,86.43,0.01,1670641.0,34555.0
AtH2023_SRR11126379_MAG1.fasta,87.88,1.0,1633503.0,12622.0
AtH2023_SRR11126379_MAG2.fasta,95.21,2.85,2047167.0,18820.0
AtH2023_SRR11126381_MAG1.fasta,96.53,0.33,2166648.0,66060.0
AtH2023_SRR11126381_MAG2.fasta,88.48,0.15,1724244.0,19425.0
AtH2023_SRR11126381_MAG3.fasta,85.9,1.61,1845639.0,5355.0
AtH2023_SRR11126381_MAG4.fasta,99.71,0.07,1598951.0,45736.0
AtH2023_SRR11126404_MAG1.fasta,88.74,1.12,1849471.0,6239.0
AtH2023_SRR11126404_MAG2.fasta,96.36,0.38,1614764.0,6834.0
AtH2023_SRR11126405_MAG1.fasta,94.95,2.42,1550710.0,6093.0
AtH2023_SRR11126405_MAG2.fasta,91.75,1.55,2307601.0,6231.0
AtH2023_SRR11126405_MAG3.fasta,93.13,1.73,2154367.0,7649.0
AtH2023_SRR11126405_MAG4.fasta,94.2,2.29,2217368.0,10219.0
AtH2023_SRR11126405_MAG5.fasta,90.19,0.51,2007330.0,23831.0
AtH2023_SRR11126414_MAG1.fasta,99.98,1.02,2048234.0,27865.0
AtH2023_SRR11126414_MAG2.fasta,89.76,3.6,2053325.0,7092.0
AtH2023_SRR11126415_MAG1.fasta,99.09,0.28,1961273.0,29771.0
AtH2023_SRR11126427_MAG1.fasta,80.14,3.25,1509647.0,7341.0
AtH2023_SRR11126427_MAG2.fasta,93.7,3.25,1891919.0,11917.0
AtH2023_SRR11126428_MAG1.fasta,99.91,2.68,1677702.0,23134.0
AtH2023_SRR11126428_MAG2.fasta,89.83,1.58,1864612.0,15139.0
AtH2023_SRR11126428_MAG3.fasta,93.12,0.0,2496109.0,35839.0
AtH2023_SRR11126428_MAG4.fasta,90.99,0.41,1775113.0,43842.0
AtH2023_SRR11126430_MAG1.fasta,94.32,0.3,1953600.0,95553.0
AtH2023_SRR11126430_MAG2.fasta,99.69,0.13,1677892.0,40560.0
AtH2023_SRR11126430_MAG3.fasta,90.47,1.67,2665521.0,6844.0
AtH2023_SRR11126430_MAG4.fasta,97.34,0.0,1772500.0,57000.0
AtH2023_SRR11126440_MAG1.fasta,90.47,2.6,1739847.0,10092.0
AtH2023_SRR11126440_MAG2.fasta,99.93,0.49,1928555.0,23009.0
AtH2023_SRR11126440_MAG3.fasta,99.98,0.4,3154488.0,44829.0
AtH2023_SRR11126447_MAG1.fasta,91.78,1.61,1926114.0,41813.0
AtH2023_SRR11126447_MAG2.fasta,92.61,1.46,1751948.0,7964.0
AtH2023_SRR11126447_MAG3.fasta,87.15,0.52,2621227.0,45933.0
AtH2023_SRR11126491_MAG1.fasta,75.76,1.61,1172701.0,7949.0
AtH2023_SRR11126491_MAG2.fasta,91.05,0.38,1584849.0,23447.0
SRR11126513_MAG1.fasta,92.29,0.05,2078605.0,20714.0
SRR11126513_MAG2.fasta,100.0,2.43,2370381.0,18572.0
SRR11126513_MAG3.fasta,98.35,3.57,4644416.0,12985.0
SRR11126513_MAG4.fasta,79.46,0.94,1492621.0,6056.0
AtH2023_SRR11126517_MAG1.fasta,99.81,0.86,2993325.0,112880.0
AtH2023_SRR11126517_MAG2.fasta,87.89,1.78,1690718.0,16732.0
AtH2023_SRR11126517_MAG3.fasta,97.59,0.52,2110221.0,86478.0
AtH2023_SRR11126517_MAG4.fasta,99.79,0.16,1601222.0,42101.0
AtH2023_SRR11126519_MAG1.fasta,96.81,0.98,1734713.0,16737.0
AtH2023_SRR11126519_MAG2.fasta,87.52,0.62,2629824.0,8824.0
AtH2023_SRR11126520_MAG1.fasta,100.0,1.04,2262907.0,22181.0
AtH2023_SRR11126520_MAG2.fasta,99.91,3.67,3563403.0,17606.0
AtH2023_SRR11126520_MAG3.fasta,90.43,4.6,1699749.0,5393.0
AtH2023_SRR11126520_MAG4.fasta,74.09,0.2,1301053.0,11075.0
AtH2023_SRR11126521_MAG1.fasta,91.74,0.21,2445057.0,11515.0
AtH2023_SRR11126521_MAG2.fasta,99.97,0.08,1785743.0,47495.0
AtH2023_SRR11183352_MAG1.fasta,84.5,2.34,2468812.0,10079.0
AtH2023_SRR11183352_MAG2.fasta,97.67,0.57,2024443.0,69929.0
SRR11183354_MAG1.fasta,87.64,1.23,1734337.0,24513.0
SRR11183354_MAG2.fasta,87.53,1.6,2520262.0,11341.0
SRR11183354_MAG3.fasta,100.0,0.69,1846282.0,17360.0
SRR11183354_MAG4.fasta,100.0,0.87,2003591.0,45904.0
AtH2023_SRR11183364_MAG1.fasta,99.05,1.66,2112454.0,40811.0
AtH2023_SRR11183364_MAG2.fasta,98.02,0.17,2223658.0,45186.0
AtH2023_SRR11183368_MAG1.fasta,96.42,0.18,1692874.0,14476.0
AtH2023_SRR11183368_MAG2.fasta,88.11,5.91,2257773.0,9110.0
AtH2023_SRR11183368_MAG3.fasta,94.1,1.31,2514146.0,15921.0
AtH2023_SRR11183368_MAG4.fasta,88.47,0.34,1839779.0,23477.0
AtH2023_SRR11183371_MAG1.fasta,91.1,0.89,4282543.0,8536.0
AtH2023_SRR11183372_MAG1.fasta,98.79,3.83,2866961.0,13722.0
AtH2023_SRR11183372_MAG2.fasta,99.95,0.87,1889139.0,18599.0
AtH2023_SRR11183374_MAG1.fasta,99.71,0.94,2510061.0,36741.0
AtH2023_SRR11183374_MAG2.fasta,96.57,2.51,2042453.0,21053.0
